-1.3659,-0.3248,-1.4786,7.0905,6.1169
-3.3565,8.9446,7.3753,4.5466,-0.0732
3.0112,-0.8779,-1.2449,3.4340,-7.9685
-6.1344,-1.3132,-8.0927,-4.7806,8.5780
-5.2787,-2.8965,-10.3263,3.0995,3.2570
3.3324,-1.5114,-0.6961,3.4751,-8.4611
-8.7093,-3.4130,-1.2293,4.4589,1.2982
-2.7890,2.2560,-0.7812,6.5532,7.0344
-1.7276,-4.7210,-6.0038,4.7662,-4.2428
4.6850,-3.3897,0.5053,4.6939,-8.5437
-7.8282,10.3027,-8.5303,-9.6099,-0.4965
-8.3264,10.1023,-8.2925,-7.7294,-1.1898
-4.0374,9.2684,5.6209,9.3228,-5.1791
6.5685,-4.5873,-8.1235,-5.5137,0.5486
-3.7610,-4.4093,8.3617,-7.5226,-4.5758
-6.8666,0.2835,-8.2278,-6.0508,9.3101
-5.9285,8.0822,-8.6883,-7.7927,-0.1405
-2.7268,9.1662,7.0077,9.7725,-5.3596
-3.0044,-4.2586,-9.9460,1.3433,3.7155
7.1462,-5.5282,-9.3625,-5.1697,-2.4738
5.2919,-4.1947,-9.2839,-7.9633,0.4112
-6.4316,-4.5718,-1.4611,7.8017,0.2179
3.4278,-1.9022,-0.5755,2.7971,-9.6483
-4.7547,9.3124,6.5416,10.5086,-6.1559
-7.1314,6.6528,-7.7812,-10.1867,1.7481
-2.4475,8.1456,5.0548,6.7815,-0.3275
-1.9335,-8.4910,-6.9929,5.0136,-2.9528
-6.1302,7.3206,-8.5989,-9.4556,2.7510
-6.8126,9.8689,-8.1952,-9.7064,1.3608
-4.0927,8.8988,7.1777,5.2955,-1.5718
-9.1617,-2.1571,3.8873,-1.0125,-8.3657
-6.5608,-2.0849,-9.2293,-3.5616,8.0588
-4.8136,8.9684,6.2536,10.2933,-6.1715
-0.4730,0.9332,-1.4730,5.1425,6.0065
-1.2657,4.8352,8.0999,4.9331,-1.9577
-2.6750,-8.4898,-4.1475,6.4301,-2.2747
-1.4946,1.9167,1.1125,6.8088,5.4323
-3.4523,-7.2629,-6.7770,4.7135,-2.3137
-1.8240,7.4452,5.2820,4.6778,-0.7712
-7.8150,7.3045,-9.8983,-8.9604,0.0193
2.0526,-3.1687,-1.9480,2.6207,-7.0250
-4.9012,-5.4055,-2.6254,7.4437,-0.0311
-5.5203,-3.6852,-1.9097,5.8783,0.0510
-1.9095,-5.4722,-4.7172,4.6705,-2.7226
