-0.9571,0.4161,-0.7716,7.2222,6.1968
-2.8617,6.6690,6.9640,4.9955,-1.3725
3.9760,-2.0328,-1.2600,3.3735,-7.5687
-6.1702,-1.0072,-8.7359,-4.0836,8.8476
-3.9252,-3.9667,-9.8196,1.6434,4.3796
3.2401,-1.8969,-0.5951,3.2348,-9.3343
-6.5883,-4.0829,-1.7004,4.8583,1.4858
-2.0310,1.6696,-0.6942,7.3138,6.5923
-1.9544,-6.6978,-5.5311,5.2984,-2.7199
4.0514,-2.9885,-0.1028,3.9767,-8.4609
-7.2829,8.1851,-8.6737,-8.6007,0.8962
-5.2709,0.5993,-8.5222,-8.2022,-8.2734
-4.3160,9.1101,5.4057,9.7561,-5.8751
7.4203,-4.3326,-8.3174,-7.0294,-0.1489
-6.3732,-2.7397,6.4395,-3.8762,-7.1306
